Partition #1593 -> Partition (NTFS, ??? b, 36 files, Recoverable, Offset: 206848, Offset (b): 105906176, Sec/Clus: 8, MFT offset: 49420056, MFT mirror offset: None)
Partition #1594 -> Partition (NTFS, ??? b, 16 files, Recoverable, Offset: 206848, Offset (b): 105906176, Sec/Clus: 8, MFT offset: 198031576, MFT mirror offset: None)
Partition #1596 -> Partition (NTFS, ??? b, 17 files, Recoverable, Offset: 206848, Offset (b): 105906176, Sec/Clus: 8, MFT offset: 9574184, MFT mirror offset: None)
Partition #1612 -> Partition (NTFS, ??? b, 16 files, Recoverable, Offset: 206848, Offset (b): 105906176, Sec/Clus: 8, MFT offset: 390014528, MFT mirror offset: None)
Partition #1620 -> Partition (NTFS, ??? b, 32 files, Recoverable, Offset: 206848, Offset (b): 105906176, Sec/Clus: 8, MFT offset: 402348352, MFT mirror offset: None)
Partition #1622 -> Partition (NTFS, ??? b, 16 files, Recoverable, Offset: 206848, Offset (b): 105906176, Sec/Clus: 8, MFT offset: 402683936, MFT mirror offset: None)
Partition #1636 -> Partition (NTFS, ??? b, 60 files, Recoverable, Offset: 206848, Offset (b): 105906176, Sec/Clus: 8, MFT offset: 57930480, MFT mirror offset: None)
Partition #1639 -> Partition (NTFS, ??? b, 16 files, Recoverable, Offset: 206848, Offset (b): 105906176, Sec/Clus: 8, MFT offset: 208410568, MFT mirror offset: None)
Partition #1647 -> Partition (NTFS, ??? b, 55 files, Recoverable, Offset: 206848, Offset (b): 105906176, Sec/Clus: 8, MFT offset: 197638776, MFT mirror offset: None)
Partition #1672 -> Partition (NTFS, ??? b, 204 files, Recoverable, Offset: 206848, Offset (b): 105906176, Sec/Clus: 8, MFT offset: 49420360, MFT mirror offset: None)
Partition #1679 -> Partition (NTFS, ??? b, 4 files, Recoverable, Offset: 206848, Offset (b): 105906176, Sec/Clus: 8, MFT offset: 22817920, MFT mirror offset: None)
